latitude,longitude,ratio,vegetationType
-3,-60,0.299,forest
-3,-60,0.411,forest
-3,-60,0.277,forest
-3,-60,0.366,forest
-3,-60,0.299,forest
-3,-60,0.411,forest
-3,-60,0.277,forest
-3,-60,0.366,forest
4,113.8,0.285,forest
4,113.8,0.547,forest
4,113.8,0.374,forest
4,113.8,0.27,forest
4,113.8,0.469,forest
4,113.8,0.288,forest
4,113.8,0.296,forest
4,113.8,0.239,forest
4,113.8,0.317,forest
4,113.8,0.349,forest
4,113.8,0.371,forest
4,113.8,0.356,forest
4,113.8,0.515,forest
4,113.8,0.238,forest
4,113.8,0.293,forest
4,113.8,0.273,forest
4,113.8,0.454,forest
4,113.8,0.217,forest
4,113.8,1.48,forest
4,113.8,0.296,forest
4,113.8,1.393,forest
4,113.8,1.387,forest
4,113.8,2.579,forest
4,113.8,1.062,forest
4,113.8,1.009,forest
4,113.8,0.759,forest
4,113.8,0.921,forest
4,113.8,0.865,forest
4,113.8,0.956,forest
4,113.8,1.022,forest
4,113.8,1.101,forest
4,113.8,0.285,forest
4,113.8,0.547,forest
4,113.8,0.374,forest
4,113.8,0.27,forest
4,113.8,0.469,forest
4,113.8,0.288,forest
4,113.8,0.296,forest
4,113.8,0.239,forest
4,113.8,0.317,forest
4,113.8,0.349,forest
4,113.8,0.371,forest
4,113.8,0.356,forest
4,113.8,0.515,forest
4,113.8,0.238,forest
4,113.8,0.293,forest
4,113.8,0.273,forest
4,113.8,0.454,forest
4,113.8,0.217,forest
4,113.8,1.48,forest
4,113.8,0.296,forest
4,113.8,1.393,forest
4,113.8,1.387,forest
4,113.8,2.579,forest
4,113.8,1.062,forest
4,113.8,1.009,forest
4,113.8,0.759,forest
4,113.8,0.921,forest
4,113.8,0.865,forest
4,113.8,0.956,forest
4,113.8,1.022,forest
4,113.8,1.101,forest
-6,145.1833333,0.12778118,forest
8.5,-78,0.681508079,forest
18,-77,0.161572052,forest
22,106.5,0.226,forest
22,106.5,0.227,forest
22,106.5,0.226,forest
22,106.5,0.227,forest
23,110.65,0.132932166,forest
23,113.7,0.138088145,forest
25,111.7,0.180103508,forest
25,105.8,0.810293759,forest
25,83,0.215429732,forest
25,83.03,0.233589385,forest
25,109.2,0.211579435,forest
25,116.4,0.19518164,forest
25,92.5,0.299,forest
25,92.5,0.299,forest
26,119.3,0.18575711,forest
26,119.3,0.200632625,forest
26,101.7,0.120121846,forest
26,110.4,0.13658028,forest
26,110.6,0.14841059,forest
26,110.6,0.166263376,forest
26,110.6,0.274636511,forest
26,108,0.182498047,forest
26,83,0.171875,forest
26,83,0.271965812,forest
26,83,0.219538968,forest
26,83,0.282751092,forest
26,83,0.281228273,forest
26,83,0.306617345,forest
26,83,0.227231577,forest
26,83,0.256916996,forest
26,83,0.338491296,forest
26,83,0.186315789,forest
26,83,0.185088293,forest
26,83,0.266135458,forest
26,83,0.252086811,forest
26,83,0.449197861,forest
26,83,0.61589404,forest
27,83.88333,0.283870968,forest
27,83.88333,0.267676768,forest
27,83.88333,0.192045455,forest
27,83.88333,0.254385965,forest
27,83.88333,0.188448943,forest
27,83.88333,0.186093692,forest
27,83.883333,0.231854839,forest
27,83.883333,0.273538157,forest
27,83.883333,0.196349906,forest
27,83.883333,0.243691149,forest
27,83.883333,0.248426631,forest
27,83.883333,0.227783284,forest
27,118.1,0.232787086,forest
27,83.5,0.316883117,forest
27,83.5,0.298474946,forest
27,83.5,0.226270374,forest
27,83.5,0.231780167,forest
27,83.5,0.250402576,forest
27,83.5,0.192775974,forest
27,117.87,0.182776785,forest
27,117.87,0.18346381,forest
27,117.87,0.222610316,forest
27,117.87,0.226817805,forest
27,117.87,0.230700856,forest
27,117.87,0.265828707,forest
27,117.87,0.271517824,forest
27,117.87,0.27465042,forest
27,117.87,0.277380952,forest
27,117.87,0.278396533,forest
27,117.87,0.323434474,forest
27,117.87,0.457757894,forest
27,83.88,0.283870968,forest
27,83.88,0.267676768,forest
27,83.88,0.192045455,forest
27,83.88,0.254385965,forest
27,83.88,0.188448943,forest
27,83.88,0.186782673,forest
27,83.88,0.316883117,forest
27,83.88,0.298474946,forest
27,83.88,0.226270374,forest
27,83.88,0.231780167,forest
27,83.88,0.250402576,forest
27,83.88,0.192775974,forest
27,83.88,0.232041969,forest
27,83.88,0.273592387,forest
27,83.88,0.196349906,forest
27,83.88,0.243691149,forest
27,83.88,0.248327261,forest
27,83.88,0.227783284,forest
27,118.9,0.230719699,forest
27,117.6,0.165435989,forest
27,117.1,0.258769845,forest
28,101.75,0.1,forest
28,102.5,0.099976723,forest
28,106.5,0.130474934,forest
28,120,0.20494368,forest
21.25,109.9,0.088830194,forest
25.25,107.95,0.182561071,forest
25.25,107.98,0.201734593,forest
26.25,107.98,0.567501513,forest
26.25,116.8,0.273550725,forest
26.25,116.8,0.322536182,forest
26.25,116.8,0.350976829,forest
26.25,116.8,0.502702703,forest
26.25,113.83,0.212638571,forest
26.25,113.68,0.22061044,forest
26.25,113.37,0.219225054,forest
27.25,118.5,0.33159583,forest
28.25,108.45,0.256087824,forest
28.25,108.12,0.228908189,forest
28.25,108.12,0.170766677,forest
28.25,108.43,0.201370834,forest
28.25,106.43,0.196629213,forest
19.5,110.73,0.423921631,forest
21.5,101.55,0.236832092,forest
21.5,101.55,0.245874603,forest
21.5,109.683,0.425576188,forest
21.5,109.683,0.569351325,forest
21.5,109.683,0.7038674,forest
21.5,100.5,0.215949896,forest
21.5,100.5,0.216935654,forest
21.5,100.5,0.21725755,forest
21.5,100.5,0.217266558,forest
25.5,113.78,0.233466412,forest
25.5,108.62,0.2347643,forest
25.5,118.25,0.366851912,forest
25.5,118.25,0.379633439,forest
25.5,118.25,0.39196536,forest
25.5,111.37,0.231523422,forest
25.5,99.13,0.339577201,forest
25.5,108.45,0.173794584,forest
25.5,110.25,0.339991399,forest
26.5,114.4,0.180399315,forest
26.5,114.4,0.208447687,forest
26.5,113.7,0.180943092,forest
26.5,114.05,0.256078938,forest
26.5,118.87,0.216644474,forest
26.5,118.1,0.218669234,forest
26.5,110.1,0.30030477,forest
27.5,117.6,0.196079193,forest
28.5,120.6,0.172678557,forest
28.5,106.32,0.201711491,forest
29.5,110.17,0.272045768,forest
29.5,110.17,0.273143684,forest
29.5,110.17,0.339523065,forest
17.75,99.08,0.139082058,forest
17.75,99.08,0.119305857,forest
17.75,99.08,0.077641984,forest
21.75,108.4,0.183830827,forest
23.75,105.08,0.167723343,forest
23.75,105.08,0.07932726,forest
23.75,109.67,0.123459168,forest
23.75,109.67,0.124096386,forest
23.75,109.67,0.12988863,forest
23.75,109.67,0.130800023,forest
23.75,109.67,0.135940196,forest
23.75,109.67,0.139240506,forest
23.75,109.67,0.142857143,forest
23.75,109.67,0.167356594,forest
23.75,109.67,0.247148289,forest
24.75,106,0.197789864,forest
25.75,108.05,0.171505437,forest
25.75,109.8,0.21490306,forest
25.75,108.08,0.462824169,forest
25.75,104.62,0.22826233,forest
26.75,109.35,0.248059867,forest
26.75,115.07,0.239989393,forest
26.75,80.85,0.21542686,forest
26.75,80.85,0.217553456,forest
26.75,80.85,0.200325733,forest
21.6866,110.3077,0.185322461,forest
27.0009,118.1008,0.232730163,forest
26.1223,109.402,0.267777326,forest
24.261305,101.509226,0.4329876,forest
26.8071,118.3027,0.212246611,forest
18.6214,104.6853,0.155848868,forest
27.6214,109.5809,0.247252747,forest
25.8053,116.3081,0.208671201,forest
25.9883,108.3278,0.20758905,forest
27.3026,117.4095,0.163524335,forest
4.844202,-2.083854,0.151612564,forest
25.1749,111.0486,0.186476167,forest
26.2374,106.656,0.097962747,forest
26.1079,117.4065,0.172341786,forest
24.107,111.5077,0.219483395,forest
5.383333,-4.03333,0.078431373,forest
7.383333,3.93333,0.249271137,forest
26.1061,117.5098,0.233087743,forest
24.1043,111.504,0.137212603,forest
25.4793,107.7936,0.178056861,forest
3.022291,101.641854,0.119940861,forest
28.9757,108.1988,0.19000602,forest
18.804999,98.675345,0.146239554,forest
23.2221,113.712,0.192758621,forest
28.4096,114.501,0.271775223,forest
28.5346,106.2018,0.184526163,forest
25.4087,107.9999,0.165688259,forest
27.7837,107.8517,0.245501042,forest
28.406,119.9042,0.204896286,forest
28.0319,108.112,0.124768457,forest
24.9166667,83.1166667,0.27129751,forest
24.9166667,83.1166667,0.256449165,forest
-0.36667,35.35,0.628070175,forest
-0.36667,35.35,0.510582011,forest
25.589,108.0509,0.193119625,forest
24.5899,108.7527,0.221690044,forest
25.5845,105.1376,0.117015943,forest
26.8336,109.5946,0.255282074,forest
23.08,112.35,0.483599089,forest
26.08,99.57,0.344182201,forest
26.08,109.4,0.17061144,forest
26.08,108.6,0.242281563,forest
26.08,99.62,0.274575243,forest
22.33,107.84,0.157628513,forest
22.33,107.84,0.158157884,forest
22.33,107.84,0.165607146,forest
22.33,107.84,0.170376055,forest
22.33,107.84,0.181510073,forest
22.33,107.84,0.182427536,forest
22.33,107.84,0.183858723,forest
22.33,107.84,0.1878333,forest
22.33,107.84,0.187993353,forest
22.33,107.84,0.19118893,forest
22.33,107.84,0.192777778,forest
22.33,107.84,0.193128485,forest
22.33,107.84,0.19329089,forest
22.33,107.84,0.193897365,forest
22.33,107.84,0.197092536,forest
22.33,107.84,0.22090497,forest
24.33,99.45,0.157338771,forest
24.33,99.45,0.169918698,forest
25.33,83,0.168453608,forest
25.33,107.92,0.193512111,forest
26.33,108,0.100146021,forest
26.33,106.73,0.130350195,forest
26.33,108.17,0.184680952,forest
26.33,117.31,0.503021136,forest
21.58,110.06,0.212065039,forest
21.58,110.06,0.294483063,forest
21.58,110.06,0.310723503,forest
21.58,109.7,0.264184111,forest
21.58,109.7,0.274012174,forest
22.58,109.88,0.165672631,forest
22.58,109.88,0.185322461,forest
22.58,109.88,0.311478017,forest
24.58,108.75,0.221690044,forest
24.58,104.68,0.190271817,forest
24.58,108.28,0.134851663,forest
25.58,99.62,0.125694302,forest
25.58,105.13,0.117015943,forest
25.58,108.05,0.193119625,forest
25.58,99.92,0.368061719,forest
25.58,108.08,0.231133532,forest
25.58,99.8,0.116525424,forest
25.58,108.33,0.151437634,forest
24.705,117.2017,0.160897095,forest
24.83,121.57,0.176898734,forest
26.83,109.75,0.256266003,forest
26.83,109.75,0.205301205,forest
26.83,109.75,0.064703464,forest
26.83,109.58,0.255282074,forest
26.7068,103.8421,0.276186145,forest
24.7041,114.5084,0.226957192,forest
21.7032,108.3051,0.316961045,forest
27.1362,107.6743,0.172758256,forest
25.3853,109.7537,0.168539326,forest
28.38333333,109.55,0.164083333,forest
18.63333333,109.3166667,0.124576605,forest
19.88333333,110.6166667,0.691378096,forest
28.0085,102.5047,0.099976723,forest
26.5085,114.4053,0.180365722,forest
25.0076,111.7075,0.180103508,forest
26.5076,114.0533,0.256124067,forest
25.2567,107.9973,0.201777276,forest
26.5058,118.1046,0.218624918,forest
26.287547,118.051649,0.149171271,forest
21.886611,100.830882,0.363268062,forest
26.19166667,117.4333333,0.241220635,forest
25.31666667,102.55,0.376832458,forest
26.81666667,109.6333333,0.184158882,forest
26.5004,110.1063,0.300283487,forest
25.4361,99.7451,0.130719441,forest
26.3084,107.9799,0.209459459,forest
25.4334,99.6867,0.348957842,forest
-18.93358,48.430852,1.138932608,forest
26.6218,105.7739,0.256701031,forest
23.12,110,0.176596351,forest
23.12,111.88,0.201662944,forest
26.12,109.4,0.267777326,forest
27.12,110.23,0.188365651,forest
28.12,119.14,0.225423112,forest
28.12,119.14,0.256040745,forest
28.12,119.14,0.281055901,forest
28.12,119.14,0.345092932,forest
25.37,108.13,0.186576548,forest
25.37,99.73,0.079928476,forest
25.37,108.07,0.171568014,forest
26.37,106.97,0.264519191,forest
18.62,104.68,0.155859472,forest
18.62,-89.55,0.255400864,forest
25.62,108.28,0.190547778,forest
26.62,109.52,0.20825274,forest
26.62,105.77,0.256701031,forest
27.62,109.58,0.247252747,forest
25.8075,110.6026,0.137225549,forest
25.87,99.73,0.109753788,forest
25.87,99.62,0.07389575,forest
28.87,107.92,0.248356345,forest
21.91027778,101.2744444,0.197967688,forest
26.3057,118.7029,0.217556628,forest
25.1771,109.936,0.267731878,forest
26.2396,109.3244,0.167496747,forest
26.8021,117.9262,0.198717055,forest
21.9869,107.0732,0.136355801,forest
26.2351,99.57,0.308419768,forest
24.236,104.4172,0.2245105,forest
27.1092,109.3553,0.266480966,forest
26.7342,108.7154,0.361038331,forest
23.16916667,112.5394444,0.222,forest
23.16916667,112.5394444,0.223,forest
23.16916667,112.5394444,0.557,forest
27.6056,118.507,0.235700968,forest
26.602,118.1093,0.304424203,forest
21.852,107.711,0.271435044,forest
21.4761,109.7226,0.490763135,forest
28.5386,106.2862,0.177666818,forest
27.1002,106.7058,0.280470836,forest
26.3502,110.2084,0.235456681,forest
26.16,117.54,0.13357034,forest
26.16,117.54,0.135257482,forest
26.16,117.54,0.145819831,forest
26.16,117.54,0.150414805,forest
26.16,117.54,0.169356753,forest
26.16,117.54,0.174551573,forest
26.16,117.54,0.17533814,forest
26.16,117.54,0.178515941,forest
26.16,117.54,0.185044072,forest
26.16,117.54,0.187237085,forest
26.16,117.54,0.187464965,forest
26.16,117.54,0.196439173,forest
26.16,117.54,0.197865345,forest
26.16,117.54,0.198608137,forest
26.16,117.54,0.200635867,forest
26.16,117.54,0.203121926,forest
26.16,117.54,0.203283554,forest
26.16,117.54,0.209190623,forest
26.16,117.54,0.20938893,forest
26.16,117.54,0.21023015,forest
26.16,117.54,0.212632006,forest
26.16,117.54,0.215857605,forest
26.16,117.54,0.217307692,forest
26.16,117.54,0.217504611,forest
26.16,117.54,0.219092968,forest
26.16,117.54,0.222348199,forest
26.16,117.54,0.227646417,forest
26.16,117.54,0.231234804,forest
26.16,117.54,0.232849887,forest
26.16,117.54,0.241220635,forest
26.16,117.54,0.243338835,forest
26.16,117.54,0.246659209,forest
26.16,117.54,0.250139339,forest
26.16,117.54,0.250541469,forest
26.16,117.54,0.260892667,forest
26.16,117.54,0.264543051,forest
26.16,117.54,0.268791489,forest
26.16,117.54,0.285588972,forest
26.16,117.54,0.290452158,forest
26.16,117.54,0.291904219,forest
26.16,117.54,0.304601861,forest
26.16,117.54,0.324297166,forest
26.16,117.54,0.361959288,forest
26.16,117.54,0.399727922,forest
26.16,117.54,0.412047219,forest
26.16,117.54,0.434750598,forest
26.16,99.0807,0.075106307,forest
27.16,118.64,0.287816211,forest
27.16,118.64,0.291184328,forest
27.16,118.64,0.311640697,forest
27.16,118.64,0.326906223,forest
27.16,118.64,0.342353682,forest
27.16,118.64,0.365225838,forest
20.41,110.21,0.116884888,forest
