"year","lakeid","ice_on","ice_off","ice_duration","temp"
1884,"Lake Mendota",1884-12-17,1885-04-20,124,-6.30994475138122
1885,"Lake Mendota",1885-12-12,1886-04-19,128,-2.97403314917127
1886,"Lake Mendota",1886-12-05,1887-04-15,131,-4.98674033149171
1887,"Lake Mendota",1887-12-24,1888-04-15,113,-4.98956043956044
1888,"Lake Mendota",1889-01-02,1889-03-31,88,-1.08232044198895
1889,"Lake Mendota",1890-01-14,1890-03-30,75,-0.719337016574586
1890,"Lake Mendota",1890-12-26,1891-04-16,111,-1.23480662983425
1891,"Lake Mendota",1891-12-27,1892-04-02,97,-2.61428571428571
1892,"Lake Mendota",1892-12-16,1893-04-07,112,-5.34198895027624
1893,"Lake Mendota",1893-12-04,1894-03-15,101,-1.88453038674033
1894,"Lake Mendota",1894-12-28,1895-04-08,101,-3.23370165745856
1895,"Lake Mendota",1896-01-05,1896-04-05,91,-1.70604395604396
1896,"Lake Mendota",1896-12-21,1897-04-10,110,-2.22707182320442
1897,"Lake Mendota",1897-12-17,1898-03-27,100,-2.27845303867403
1898,"Lake Mendota",1898-12-09,1899-04-18,130,-4.37237569060773
1899,"Lake Mendota",1899-12-27,1900-04-17,111,-2.20386740331492
1900,"Lake Mendota",1900-12-25,1901-04-11,107,-2.61988950276243
1901,"Lake Mendota",1901-12-15,1902-03-30,105,-2.21381215469613
1902,"Lake Mendota",1902-12-25,1903-03-24,89,-1.09502762430939
1903,"Lake Mendota",1903-12-13,1904-04-17,126,-5.38956043956044
1904,"Lake Mendota",1904-12-14,1905-04-01,108,-3.24696132596685
1905,"Lake Mendota",1906-01-01,1906-04-08,97,-1.82762430939227
1906,"Lake Mendota",1906-12-20,1907-03-24,94,-2.30828729281768
1907,"Lake Mendota",1908-01-01,1908-03-24,83,-1.21648351648352
1908,"Lake Mendota",1908-12-22,1909-04-07,106,-2.23977900552486
1909,"Lake Mendota",1909-12-18,1910-03-26,98,-1.38950276243094
1910,"Lake Mendota",1910-12-09,1911-03-20,101,-2.27348066298343
1911,"Lake Mendota",1911-12-28,1912-04-14,108,-5.17087912087912
1912,"Lake Mendota",1912-12-24,1913-04-02,99,-1.93204419889503
1913,"Lake Mendota",1914-01-12,1914-04-10,88,-1.03591160220994
1914,"Lake Mendota",1914-12-16,1915-04-10,115,-1.75966850828729
1915,"Lake Mendota",1915-12-28,1916-04-08,102,-2.39010989010989
1916,"Lake Mendota",1916-12-16,1917-04-11,116,-4.28342541436464
1917,"Lake Mendota",1917-12-11,1918-04-05,115,-3.99889502762431
1918,"Lake Mendota",1919-01-03,1919-03-26,82,-0.148066298342541
1919,"Lake Mendota",1919-12-09,1920-03-28,110,-4.81593406593407
1920,"Lake Mendota",1920-12-25,1921-03-16,81,0.0596685082872928
1921,"Lake Mendota",1921-12-25,1922-03-31,96,-2.40497237569061
1922,"Lake Mendota",1922-12-16,1923-04-20,125,-2.8817679558011
1923,"Lake Mendota",1924-01-01,1924-04-14,104,-1.8467032967033
1924,"Lake Mendota",1924-12-19,1925-04-03,105,-1.74309392265193
1925,"Lake Mendota",1925-12-16,1926-04-19,124,-3.34033149171271
1926,"Lake Mendota",1926-12-06,1927-03-19,103,-1.96408839779006
1927,"Lake Mendota",1927-12-17,1928-04-01,106,-2.1032967032967
1928,"Lake Mendota",1928-12-21,1929-03-27,96,-2.93425414364641
1929,"Lake Mendota",1929-12-03,1930-03-20,107,-2.18618784530387
1930,"Lake Mendota",1930-12-16,1931-03-24,98,0.0558011049723757
