"Survey","Number","substrate","Reltolow","SITE"
1,250,"rock",0,"Abbess I."
2,144,"rock",3.2,"Abbess I."
3,0,"rock",4.9,"Alava Bay"
4,42,"rock",3.6,"Alava Bay"
5,10,"rock",0,"Alava Bay"
6,0,"rock",1.6,"Alava Bay"
7,127,"rock",0.7,"Amelius group"
8,20,"rock",2.3,"Amelius group"
9,56,"rock",0,"Amelius group"
10,71,"rock",3.7,"Amelius group"
11,38,"rock",0.6,"Amelius group"
12,46,"rock",4,"Anan"
13,20,"rock",0,"Anan"
14,15,"rock",3,"Anan"
15,27,"rock",2.2,"Anan"
16,45,"rock",6.9,"Anguilla I."
17,6,"rock",0,"Anguilla I."
18,64,"rock",3.6,"Anguilla I."
19,3,"rock",0,"Back I."
20,0,"rock",5.6,"Back I."
21,10,"rock",0,"Back I."
22,10,"sand",0,"Baird Glacier"
23,0,"sand",5.7,"Baird Glacier"
24,0,"sand",1.1,"Baird Glacier"
25,131,"sand",0,"Baird Glacier"
26,64,"sand",0,"Baird Glacier"
27,0,"sand",3.1,"Baird Glacier"
28,0,"sand",4.2,"Baird Glacier"
29,116,"rock",2.1,"Bakewell Arm"
30,98,"rock",0,"Bakewell Arm"
31,50,"rock",0,"Bakewell Arm"
32,85,"rock",0,"Baldy Bay Reef"
33,94,"rock",0,"Baldy Bay Reef"
34,78,"rock",0,"Baldy Bay Reef"
35,102,"ice",1,"Baldy Bay Reef"
36,56,"rock",0.2,"Baldy Bay Reef"
37,10,"rock",1.9,"Barren I."
38,1,"rock",0,"Barren I."
39,36,"rock",8,"Barrier I."
40,162,"rock",0,"Barrier I."
41,205,"rock",0,"Barrier I."
42,8,"rock",0,"Barrier I."
43,245,"sand",0,"Bay"
44,89,"sand",2.6,"Bay"
45,80,"sand",2,"Bay"
46,302,"ice",0,"Beauclerc I."
47,258,"rock",0,"Beauclerc I."
48,282,"rock",0,"Beauclerc I."
49,150,"rock",3.9,"Beauclerc I."
50,192,"rock",1.4,"Beauclerc I."
51,31,"rock",0,"Beck"
52,48,"rock",7.8,"Beck"
53,44,"rock",0,"Beck"
54,27,"rock",3.3,"Beck"
55,30,"rock",0,"Beck"
56,4,"rock",0,"Bee Rocks"
57,0,"rock",0,"Bee Rocks"
58,0,"rock",1.4,"Bee Rocks"
59,125,"rock",0,"Bird Rock - SSEAK"
60,131,"rock",2.5,"Bird Rock - SSEAK"
61,70,"rock",0,"Bird Rock - SSEAK"
62,100,"rock",6.8,"Bird Rock - SSEAK"
63,160,"rock",0,"Bird Rock - SSEAK"
64,6,"rock",5.9,"Biscuit Lagoon"
65,10,"rock",4.1,"Black I."
66,56,"rock",0,"Black I."
67,0,"rock",0.7,"Black I."
68,1,"rock",8.6,"Blanche"
69,14,"rock",0.8,"Blanche"
70,11,"rock",2.7,"Blanche"
71,2,"rock",0,"Blanche"
72,6,"rock",0,"Blanche"
73,17,"rock",0,"Blanche"
74,24,"rock",0,"Blanche"
75,16,"rock",3.7,"Blank Inlet"
76,16,"rock",0,"Blank Inlet"
77,9,"rock",6,"Blank Inlet"
78,14,"rock",0,"Blanquizal I."
79,25,"rock",1.4,"Blashke I.-NE rocks"
80,0,"rock",1.4,"Blashke I.-NE rocks"
81,200,"ice",0,"Blashke I.-NE rocks"
82,25,"rock",0,"Blashke I.-NE rocks"
83,25,"rock",2.9,"Blashke I.-NE rocks"
84,33,"rock",1.6,"Blashke I.-NW rocks"
85,252,"rock",0,"Blashke I.-NW rocks"
86,35,"rock",0,"Blashke I.-NW rocks"
87,61,"rock",0,"Blashke I.-NW rocks"
88,0,"rock",5.5,"Blashke I.-NW rocks"
89,30,"rock",0,"Blashke I.-S."
90,208,"ice",0,"Blashke I.-S."
91,43,"rock",0,"Blashke I.-S."
92,0,"rock",1.6,"Blashke I.-S."
93,0,"rock",2.4,"Blashke I.-S."
94,30,"rock",2.7,"Bluff I."
95,18,"rock",2.8,"Bold"
96,10,"rock",4,"Bold"
97,3,"rock",0.8,"Bold"
98,0,"rock",0,"Bold"
99,1,"rock",8.6,"Bold"
100,0,"rock",3,"Bold"
101,78,"rock",0,"Bronson Light"
102,55,"rock",0,"Bronson Light"
103,105,"rock",0.1,"Bronson Light"
104,70,"rock",0,"Bronson Light"
105,74,"rock",2,"Bronson Light"
106,96,"rock",0,"Bronson Light"
107,13,"rock",4.5,"Brownson Bay"
108,0,"rock",5.5,"Brownson Bay"
