"site","latitude","size","air_temp"
"PIE",42.7,21.2,10.293
"PIE",42.7,18.75,10.293
"PIE",42.7,19.51,10.293
"PIE",42.7,17.58,10.293
"PIE",42.7,21.19,10.293
"PIE",42.7,18.67,10.293
"PIE",42.7,18.94,10.293
"PIE",42.7,16.29,10.293
"PIE",42.7,19.37,10.293
"PIE",42.7,17.52,10.293
"GTM",30,12.43,21.792
"GTM",30,11.84,21.792
"GTM",30,11.58,21.792
"GTM",30,14.55,21.792
"GTM",30,7.55,21.792
"GTM",30,13.1,21.792
"GTM",30,13,21.792
"GTM",30,10.32,21.792
"GTM",30,12.68,21.792
"GTM",30,13.56,21.792
"VCR",37.2,16.11,14.95
"VCR",37.2,20.78,14.95
"VCR",37.2,18.71,14.95
"VCR",37.2,13.15,14.95
"VCR",37.2,12.94,14.95
"VCR",37.2,15.06,14.95
"VCR",37.2,13.84,14.95
"VCR",37.2,19.36,14.95
"VCR",37.2,19.76,14.95
"VCR",37.2,14.2,14.95
"NIB",33.3,12.71,18.967
"NIB",33.3,14.53,18.967
"NIB",33.3,14.47,18.967
"NIB",33.3,14.69,18.967
"NIB",33.3,15.14,18.967
"NIB",33.3,8.52,18.967
"NIB",33.3,15.88,18.967
"NIB",33.3,12.7,18.967
"NIB",33.3,9.72,18.967
"NIB",33.3,15.67,18.967
